범행동기별,2013,2014,2015,2016,2017,2018,2019,합계,증감율
이욕,16891,13474,12555,12764,10850,6624,6724,79882,-91.1
사행심,1193,891,788,850,783,681,705,5891,-69.5
보복,53,34,22,129,39,6,12,295,400.4
가정불화,81,75,171,259,260,181,223,1250,184.4
호기심,9336,8242,6430,8330,8186,2941,3118,46583,-66.7
유혹,2237,1460,1058,1168,1049,513,459,7944,-124.8
우발적,24511,21092,18228,19010,19496,13287,13348,128972,-62.2
현실불만,605,589,401,523,420,246,182,2966,-106
부주의,5117,4777,4537,4632,4510,2639,2295,28507,-79.1
기타,21953,19741,18266,19549,18280,10662,10833,119284,-82.1
미상,9656,7219,8579,8786,8886,28362,28348,99836,201.2